hostel,location,grade,rank,beds,study_room,tv_room,security,food_joint,ext_power,ac,proximity,post_code,latitude,longitude,price2018,price2019,price2020
HIGH ACHIEVERS,AYEDUASE,4.5,good,2,yes,yes,yes,yes,yes,no,2800,AK679,6.67345,-1.549313,2100,2400,2600
HIGH ACHIEVERS,AYEDUASE,4.5,good,3,yes,yes,yes,yes,yes,no,2800,AK679,6.67345,-1.549313,,,2000
HYDES,AYEDUASE,4,good,2,yes,yes,yes,no,yes,no,1400,AK568,6.67092,-1.558984,,2800,3100
HYDES,AYEDUASE,4,good,3,yes,yes,yes,no,yes,no,1400,AK568,6.67092,-1.558984,,2300,2500
HYDES,AYEDUASE,4,good,4,yes,yes,yes,no,yes,no,1400,AK568,6.67092,-1.558984,,1900,2000
JALEX,AYEDUASE,3.4,average,3,yes,yes,no,yes,no,no,1000,AK508,6.670803,-1.562699,,,2000
JALEX,AYEDUASE,3.4,average,4,yes,yes,no,yes,no,no,1000,AK508,6.670803,-1.562699,,,1500
JOHANNES,KOTEI,3.6,average,2,yes,yes,yes,yes,yes,no,1400,AK507,6.666891,-1.562043,,,3500
JOHANNES,KOTEI,3.6,average,3,yes,yes,yes,yes,yes,no,1400,AK507,6.666891,-1.562043,,2000,2500
K GEE,AYEDUASE,3.7,good,1,yes,yes,yes,yes,no,no,3400,AK729,6.676327,-1.543054,,3500,4000
K GEE,AYEDUASE,3.7,good,3,yes,yes,yes,yes,no,no,3400,AK729,6.676327,-1.543054,,,2300
KWAKYEWAA,KOTEI,3.8,good,3,no,no,yes,yes,yes,no,2700,AK567,6.667664,-1.556922,,2000,2300
KWAKYEWAA,KOTEI,3.8,good,4,no,no,yes,yes,yes,no,2700,AK567,6.667664,-1.556922,,,2000
LONG ISLAND,KOTEI,4,good,2,yes,yes,yes,yes,yes,no,1200,AK507,6.669217,-1.561894,,,3200
LONG ISLAND,KOTEI,4,good,3,yes,yes,yes,yes,yes,no,1200,AK507,6.669217,-1.561894,,,2600
MANCHESTER,KOTEI,4,good,2,yes,no,yes,yes,yes,no,1600,AK567,6.669819,-1.558129,,,3100
MASS,KOTEI,2.8,fair,2,yes,yes,yes,yes,yes,no,1100,AK507,6.669162,-1.562851,,2700,3300
MASS,KOTEI,2.8,fair,3,yes,yes,yes,yes,yes,no,1100,AK507,6.669162,-1.562851,,1900,2400
MASS,KOTEI,2.8,fair,4,yes,yes,yes,yes,yes,no,1100,AK507,6.669162,-1.562851,,1300,1700
MILLENIUM LIGHT,AYEDUASE,3.3,average,2,yes,yes,yes,no,no,no,3200,AK679,6.673132,-1.547335,,,1900
MORNING STAR PALACE,BOMSO,3.6,average,2,no,yes,yes,yes,yes,no,2200,AK316,6.685206,-1.573188,,2100,2300
NANA ADOMAH,AYEDUASE,3.1,average,2,yes,yes,no,yes,yes,no,750,AK508,6.672745,-1.563204,,,2300
NEVADA,AYEDUASE,3.2,average,2,yes,yes,yes,yes,yes,yes,2400,AK626,6.672876,-1.553454,,,2800
NEVADA,AYEDUASE,3.2,average,3,yes,yes,yes,yes,yes,no,2400,AK626,6.672876,-1.553454,,,2500
NEVADA,AYEDUASE,3.2,average,4,yes,yes,yes,yes,yes,no,2400,AK626,6.672876,-1.553454,,,1800
NO WEAPON,KOTEI,3.3,average,1,yes,yes,yes,yes,yes,no,2300,AK567,6.667322,-1.556561,,,4800
NO WEAPON,KOTEI,3.3,average,2,yes,yes,yes,yes,yes,no,2300,AK567,6.667322,-1.556561,,,2900
NO WEAPON,KOTEI,3.3,average,3,yes,yes,yes,yes,yes,no,2300,AK567,6.667322,-1.556561,,,2700
NO WEAPON,KOTEI,3.3,average,4,yes,yes,yes,yes,yes,no,2300,AK567,6.667322,-1.556561,1300,1700,2400
NYAME MIREKU,AYEDUASE,3.7,good,2,yes,yes,no,yes,no,no,1300,AK568,6.672566,-1.558898,,3500,4000
NYAME MIREKU,AYEDUASE,3.7,good,3,yes,yes,no,yes,no,no,1300,AK568,6.672566,-1.558898,,,3000
NYANTAKYI,AYEDUASE,4.1,good,1,yes,yes,yes,yes,no,no,2700,AK627,6.676748,-1.549678,,,4100
NYANTAKYI,AYEDUASE,4.1,good,2,yes,yes,yes,yes,no,no,2700,AK627,6.676748,-1.549678,,,3000
NYANTAKYI,AYEDUASE,4.1,good,3,yes,yes,yes,yes,no,no,2700,AK627,6.676748,-1.549678,,,2300
NYANTAKYI,AYEDUASE,4.1,good,4,yes,yes,yes,yes,no,no,2700,AK627,6.676748,-1.549678,,,2000
ORANGE,KOTEI,,,1,yes,yes,no,yes,yes,yes,3500,AK505,6.660083,-1.561646,,3000,4000
ORANGE,KOTEI,,,2,yes,yes,no,yes,yes,no,3500,AK505,6.660083,-1.561646,,1600,2000
P 3 HOSTEL,AYEDUASE,3.4,average,2,yes,yes,yes,yes,yes,no,1000,AK508,6.672499,-1.561417,,,2400
P 3 HOSTEL,AYEDUASE,3.4,average,3,yes,yes,yes,yes,yes,no,1000,AK508,6.672499,-1.561417,1850,2000,2200
P 3 HOSTEL,AYEDUASE,3.4,average,4,yes,yes,yes,yes,yes,no,1000,AK508,6.672499,-1.561417,,,1750
PINAMANG,AYEDUASE,3.4,average,1,no,yes,no,no,no,yes,2900,AK680,6.677726,-1.548105,,,3500
PINAMANG,AYEDUASE,3.4,average,2,no,yes,no,no,no,yes,2900,AK680,6.677726,-1.548105,,,3000
PINAMANG,AYEDUASE,3.4,average,3,no,yes,no,no,no,no,2900,AK680,6.677726,-1.548105,,,2300
PRESTIGE,KOTEI,4.7,good,1,yes,yes,yes,yes,yes,yes,3100,AK566,6.662804,-1.556563,,3800,4400
PRESTIGE,KOTEI,4.7,good,2,yes,yes,yes,yes,yes,no,3100,AK566,6.662804,-1.556563,1800,,2500
PROVIDENCE,KOTEI,4,good,2,yes,yes,yes,yes,yes,no,1400,AK507,6.668393,-1.56169,,,3920
PROVIDENCE,KOTEI,4,good,3,yes,yes,yes,yes,yes,no,1400,AK507,6.668393,-1.56169,,,2890
RISING STAR (NYBERG),AYEDUASE,3.4,average,2,yes,yes,yes,yes,yes,no,1100,AK568,6.674166,-1.558736,,2000,2300
RISING STAR (NYBERG),AYEDUASE,3.4,average,3,yes,yes,yes,yes,yes,no,1100,AK568,6.674166,-1.558736,,1250,1800
RISING STAR (NYBERG),AYEDUASE,3.4,average,4,yes,yes,yes,yes,yes,no,1100,AK568,6.674166,-1.558736,,,1600
RISING SUN,AYEDUASE,4,good,2,yes,yes,yes,yes,yes,no,1000,AK508,6.670368,-1.563131,,,3000
RISING SUN,AYEDUASE,4,good,4,yes,yes,yes,yes,yes,no,1000,AK508,6.670368,-1.563131,,,2000
ROYAL GATE,BOMSO,3.8,good,2,yes,yes,yes,yes,yes,no,2100,AK249,6.683427,-1.578141,2600,3000,3400
SHALOM KIBBUTZ,AYEDUASE,3.7,good,2,yes,no,yes,yes,yes,no,900,AK508,6.671572,-1.562527,,,2260
SHALOM KIBBUTZ,AYEDUASE,3.7,good,3,yes,no,yes,yes,yes,no,900,AK508,6.671572,-1.562527,,,1860
SHALOM KIBBUTZ,AYEDUASE,3.7,good,4,yes,no,yes,yes,yes,no,900,AK508,6.671572,-1.562527,,,1500
SHEPHERDSVILLE,AYEDUASE,4,good,2,yes,yes,yes,yes,yes,no,1200,AK569,6.67479,-1.558444,,,3600
SHEPHERDSVILLE,AYEDUASE,4,good,3,yes,yes,yes,yes,yes,no,1200,AK569,6.67479,-1.558444,,2600,2850
SHEPHERDSVILLE,AYEDUASE,4,good,4,yes,yes,yes,yes,yes,no,1200,AK569,6.67479,-1.558444,,,2250
SOMPA,KOTEI,3.8,good,2,no,no,no,yes,no,no,1400,AK507,6.668098,-1.560965,,,3300
SPLENDOR,AYEDUASE,3.4,average,2,yes,yes,yes,yes,yes,no,1600,AK569,6.677488,-1.55748,,,2400
SPLENDOR,AYEDUASE,3.4,average,3,yes,yes,yes,yes,yes,no,1600,AK569,6.677488,-1.55748,,,2000
STANDARD,BOMSO,4.6,good,1,no,yes,yes,yes,yes,no,3000,AK192,6.682248,-1.58579,2800,3200,3500
STANDARD,BOMSO,4.6,good,2,no,yes,yes,yes,yes,no,3000,AK192,6.682248,-1.58579,,1800,2000
SUN CITY,KENTINKRONO,4,good,4,yes,no,yes,yes,no,no,2900,AK630,6.688521,-1.55477,,,1800
THE BEST,KOTEI,,,1,yes,no,yes,yes,yes,no,2800,AK566,6.664474,-1.558753,,,3800
THE BEST,KOTEI,,,3,yes,no,yes,yes,yes,no,2800,AK566,6.664474,-1.558753,,,2300
THE BEST,KOTEI,,,4,yes,no,yes,yes,yes,no,2800,AK566,6.664474,-1.558753,,,1900
THY KINGDOM COME,AYEDUASE,2.9,average,2,yes,no,no,yes,no,no,1100,AK509,6.677381,-1.562811,,2600,2800
THY KINGDOM COME,AYEDUASE,2.9,average,3,yes,no,no,yes,no,no,1100,AK509,6.677381,-1.562811,,2000,2100
THY WILL BE DONE,KOTEI,3,average,4,yes,yes,no,yes,yes,no,3800,AK505,6.660331,-1.562277,,,1500
ULTIMATE ,BOMSO,4.3,good,2,no,no,yes,yes,yes,no,2600,AK250,6.683885,-1.580615,1800,2100,2300
ULTIMATE ,BOMSO,4.3,good,3,no,no,yes,yes,yes,no,2600,AK250,6.683885,-1.580615,,,2000
VICTORY TOWERS,AYEDUASE,3.7,good,1,yes,yes,yes,yes,yes,yes,950,AK509,6.675946,-1.562426,,,9200
VICTORY TOWERS,AYEDUASE,3.7,good,2,yes,yes,yes,yes,yes,yes,950,AK509,6.675946,-1.562426,,3900,4400
WAGYINGO,AYEDUASE,4.1,good,1,yes,yes,yes,yes,yes,yes,900,AK509,6.674811,-1.561712,,6500,7100
WAGYINGO,AYEDUASE,4.1,good,2,yes,yes,yes,yes,yes,yes,900,AK509,6.674811,-1.561712,,3500,3800
WEST END,AYEDUASE,3.7,good,3,yes,yes,no,yes,yes,no,1100,AK509,6.677751,-1.563339,2000,2200,2500
WEST END,AYEDUASE,3.7,good,4,yes,yes,no,yes,yes,no,1100,AK509,6.677751,-1.563339,1400,1600,1800
WHITE HOUSE,AYEDUASE,2,fair,2,yes,yes,no,yes,no,no,750,AK508,6.673007,-1.562735,2000,2300,2700
WHITPAM A,KOTEI,4,good,1,yes,yes,yes,yes,no,yes,1200,AK507,6.669004,-1.562244,,,8000
WHITPAM A,KOTEI,4,good,2,yes,yes,yes,yes,no,yes,1200,AK507,6.669004,-1.562244,,,4000
WHITPAM A,KOTEI,4,good,3,yes,yes,yes,yes,no,no,1200,AK507,6.669004,-1.562244,,,3000
WHITPAM A,KOTEI,4,good,4,yes,yes,yes,yes,no,no,1200,AK507,6.669004,-1.562244,,,2700
